T,P,NaCl,xH2S,yH2O,r,H2O,H2S
298.15,1,0,0.00049,0.03205,1004.5,-0.0125,-0.0045
298.15,5,0,0.00247,0.00662,1005.7,-0.0632,-0.0227
298.15,10,0,0.00492,0.00345,1007.2,-0.1285,-0.0457
298.15,20,0,0.00963,0.00188,1010.2,-0.2671,-0.0928
298.15,30,0,0.01406,0.00138,1012.9,-0.4195,-0.1418
298.15,40,0,0.01813,0.00115,1015.5,-0.5925,-0.1928
298.15,50,0,0.02176,0.00104,1017.8,-0.8023,-0.2464
298.15,60,0,0.02483,0.00101,1019.9,-1.1266,-0.3016
298.15,70,0,0.02606,0.00282,1021.1,-3.2687,-0.3741
298.15,80,0,0.02638,0.00297,1021.8,-3.4272,-0.4847
298.15,90,0,0.02667,0.00309,1022.5,-3.5658,-0.5802
298.15,100,0,0.02695,0.00319,1023.1,-3.6887,-0.6637
298.15,120,0,0.02746,0.00335,1024.5,-3.8991,-0.8038
298.15,140,0,0.02792,0.00347,1025.8,-4.0743,-0.9171
298.15,160,0,0.02836,0.00358,1027.1,-4.2237,-1.011
298.15,180,0,0.02877,0.00367,1028.4,-4.3535,-1.09
298.15,200,0,0.02916,0.00374,1029.6,-4.4679,-1.1575
298.15,250,0,0.03005,0.0039,1032.7,-4.7035,-1.2887
298.15,300,0,0.03086,0.00402,1035.7,-4.8883,-1.3825
298.15,350,0,0.03159,0.00411,1038.7,-5.038,-1.4509
298.15,400,0,0.03226,0.00418,1041.6,-5.162,-1.5008
298.15,450,0,0.03289,0.00423,1044.4,-5.2664,-1.5368
298.15,500,0,0.03347,0.00427,1047.2,-5.3554,-1.562
298.15,550,0,0.03401,0.00431,1050,-5.432,-1.5786
298.15,600,0,0.03452,0.00434,1052.7,-5.4984,-1.5882
298.15,1,1,0.0004,0.03099,1039.4,-0.0125,-0.0045
298.15,5,1,0.00203,0.0064,1040.3,-0.0632,-0.0227
298.15,10,1,0.00403,0.00334,1041.4,-0.1285,-0.0457
298.15,20,1,0.00784,0.00182,1043.6,-0.2671,-0.0928
298.15,30,1,0.01139,0.00134,1045.6,-0.4195,-0.1418
298.15,40,1,0.01462,0.00111,1047.5,-0.5925,-0.1928
298.15,50,1,0.01747,0.00101,1049.2,-0.8023,-0.2464
298.15,60,1,0.01986,0.00097,1050.8,-1.1266,-0.3016
298.15,70,1,0.02081,0.00272,1051.7,-3.2687,-0.3741
298.15,80,1,0.02105,0.00286,1052.4,-3.4272,-0.4847
298.15,90,1,0.02128,0.00298,1053.1,-3.5658,-0.5802
298.15,100,1,0.02149,0.00307,1053.7,-3.6887,-0.6637
298.15,120,1,0.02188,0.00322,1055,-3.8991,-0.8038
298.15,140,1,0.02223,0.00334,1056.2,-4.0743,-0.9171
298.15,160,1,0.02256,0.00344,1057.5,-4.2237,-1.011
298.15,180,1,0.02288,0.00353,1058.7,-4.3535,-1.09
298.15,200,1,0.02317,0.0036,1059.9,-4.4679,-1.1575
298.15,250,1,0.02384,0.00375,1062.9,-4.7035,-1.2887
298.15,300,1,0.02444,0.00386,1065.8,-4.8883,-1.3825
298.15,350,1,0.02499,0.00395,1068.7,-5.038,-1.4509
298.15,400,1,0.02549,0.00401,1071.5,-5.162,-1.5008
298.15,450,1,0.02595,0.00406,1074.3,-5.2664,-1.5368
298.15,500,1,0.02637,0.00411,1077.1,-5.3554,-1.562
298.15,550,1,0.02677,0.00414,1079.8,-5.432,-1.5786
298.15,600,1,0.02714,0.00416,1082.4,-5.4984,-1.5882
298.15,1,2,0.00033,0.02986,1072.1,-0.0125,-0.0045
298.15,5,2,0.0017,0.00617,1072.8,-0.0632,-0.0227
298.15,10,2,0.00336,0.00322,1073.7,-0.1285,-0.0457
298.15,20,2,0.00653,0.00176,1075.3,-0.2671,-0.0928
298.15,30,2,0.00944,0.00129,1076.9,-0.4195,-0.1418
298.15,40,2,0.01207,0.00107,1078.4,-0.5925,-0.1928
298.15,50,2,0.01437,0.00097,1079.7,-0.8023,-0.2464
298.15,60,2,0.01628,0.00094,1080.9,-1.1266,-0.3016
298.15,70,2,0.01704,0.00261,1081.8,-3.2687,-0.3741
298.15,80,2,0.01723,0.00275,1082.4,-3.4272,-0.4847
298.15,90,2,0.01741,0.00286,1083,-3.5658,-0.5802
298.15,100,2,0.01757,0.00295,1083.7,-3.6887,-0.6637
298.15,120,2,0.01788,0.0031,1084.9,-3.8991,-0.8038
298.15,140,2,0.01816,0.00321,1086.1,-4.0743,-0.9171
298.15,160,2,0.01842,0.00331,1087.4,-4.2237,-1.011
298.15,180,2,0.01866,0.00339,1088.6,-4.3535,-1.09
298.15,200,2,0.01889,0.00346,1089.8,-4.4679,-1.1575
298.15,250,2,0.01942,0.0036,1092.7,-4.7035,-1.2887
298.15,300,2,0.01988,0.0037,1095.6,-4.8883,-1.3825
298.15,350,2,0.0203,0.00378,1098.5,-5.038,-1.4509
298.15,400,2,0.02069,0.00384,1101.3,-5.162,-1.5008
298.15,450,2,0.02104,0.00389,1104,-5.2664,-1.5368
298.15,500,2,0.02136,0.00393,1106.8,-5.3554,-1.562
298.15,550,2,0.02166,0.00396,1109.5,-5.432,-1.5786
298.15,600,2,0.02194,0.00399,1112.1,-5.4984,-1.5882
298.15,1,3,0.00028,0.02861,1103,-0.0125,-0.0045
298.15,5,3,0.00146,0.00591,1103.5,-0.0632,-0.0227
298.15,10,3,0.00287,0.00308,1104.2,-0.1285,-0.0457
298.15,20,3,0.00555,0.00168,1105.5,-0.2671,-0.0928
298.15,30,3,0.00801,0.00124,1106.7,-0.4195,-0.1418
298.15,40,3,0.0102,0.00103,1107.9,-0.5925,-0.1928
298.15,50,3,0.01211,0.00093,1109,-0.8023,-0.2464
298.15,60,3,0.01369,0.0009,1110,-1.1266,-0.3016
298.15,70,3,0.01431,0.0025,1110.8,-3.2687,-0.3741
298.15,80,3,0.01447,0.00263,1111.4,-3.4272,-0.4847
298.15,90,3,0.01462,0.00273,1112,-3.5658,-0.5802
298.15,100,3,0.01475,0.00282,1112.7,-3.6887,-0.6637
298.15,120,3,0.015,0.00296,1113.9,-3.8991,-0.8038
298.15,140,3,0.01523,0.00307,1115.1,-4.0743,-0.9171
298.15,160,3,0.01544,0.00316,1116.3,-4.2237,-1.011
298.15,180,3,0.01564,0.00323,1117.5,-4.3535,-1.09
298.15,200,3,0.01582,0.0033,1118.7,-4.4679,-1.1575
298.15,250,3,0.01624,0.00343,1121.7,-4.7035,-1.2887
298.15,300,3,0.01662,0.00353,1124.6,-4.8883,-1.3825
298.15,350,3,0.01695,0.0036,1127.5,-5.038,-1.4509
298.15,400,3,0.01726,0.00366,1130.3,-5.162,-1.5008
298.15,450,3,0.01754,0.00371,1133.1,-5.2664,-1.5368
298.15,500,3,0.01779,0.00374,1135.8,-5.3554,-1.562
298.15,550,3,0.01803,0.00377,1138.5,-5.432,-1.5786
298.15,600,3,0.01825,0.00379,1141.2,-5.4984,-1.5882
298.15,1,4,0.00023,0.02726,1132.1,-0.0125,-0.0045
298.15,5,4,0.00127,0.00563,1132.5,-0.0632,-0.0227
298.15,10,4,0.00251,0.00294,1133.1,-0.1285,-0.0457
298.15,20,4,0.00483,0.0016,1134.1,-0.2671,-0.0928
298.15,30,4,0.00694,0.00118,1135.2,-0.4195,-0.1418
298.15,40,4,0.00883,0.00098,1136.2,-0.5925,-0.1928
298.15,50,4,0.01045,0.00089,1137.1,-0.8023,-0.2464
298.15,60,4,0.01179,0.00086,1138,-1.1266,-0.3016
298.15,70,4,0.01232,0.00237,1138.7,-3.2687,-0.3741
298.15,80,4,0.01246,0.0025,1139.3,-3.4272,-0.4847
298.15,90,4,0.01258,0.0026,1139.9,-3.5658,-0.5802
298.15,100,4,0.01269,0.00268,1140.6,-3.6887,-0.6637
298.15,120,4,0.0129,0.00281,1141.8,-3.8991,-0.8038
298.15,140,4,0.01309,0.00291,1143,-4.0743,-0.9171
298.15,160,4,0.01327,0.00299,1144.2,-4.2237,-1.011
298.15,180,4,0.01343,0.00307,1145.4,-4.3535,-1.09
298.15,200,4,0.01358,0.00313,1146.6,-4.4679,-1.1575
298.15,250,4,0.01394,0.00325,1149.6,-4.7035,-1.2887
298.15,300,4,0.01425,0.00334,1152.6,-4.8883,-1.3825
298.15,350,4,0.01452,0.00341,1155.4,-5.038,-1.4509
298.15,400,4,0.01477,0.00347,1158.3,-5.162,-1.5008
298.15,450,4,0.015,0.00351,1161.1,-5.2664,-1.5368
298.15,500,4,0.01521,0.00354,1163.9,-5.3554,-1.562
298.15,550,4,0.01541,0.00357,1166.7,-5.432,-1.5786
298.15,600,4,0.01558,0.00359,1169.4,-5.4984,-1.5882
298.15,1,5,0.00019,0.02582,1159.7,-0.0125,-0.0045
298.15,5,5,0.00113,0.00534,1160,-0.0632,-0.0227
298.15,10,5,0.00223,0.00278,1160.5,-0.1285,-0.0457
298.15,20,5,0.00429,0.00152,1161.4,-0.2671,-0.0928
298.15,30,5,0.00615,0.00112,1162.3,-0.4195,-0.1418
298.15,40,5,0.0078,0.00093,1163.1,-0.5925,-0.1928
298.15,50,5,0.00922,0.00084,1164,-0.8023,-0.2464
298.15,60,5,0.01039,0.00082,1164.7,-1.1266,-0.3016
298.15,70,5,0.01085,0.00224,1165.4,-3.2687,-0.3741
298.15,80,5,0.01097,0.00236,1166,-3.4272,-0.4847
298.15,90,5,0.01107,0.00245,1166.7,-3.5658,-0.5802
298.15,100,5,0.01117,0.00252,1167.3,-3.6887,-0.6637
298.15,120,5,0.01135,0.00265,1168.5,-3.8991,-0.8038
298.15,140,5,0.01151,0.00274,1169.8,-4.0743,-0.9171
298.15,160,5,0.01166,0.00282,1171,-4.2237,-1.011
298.15,180,5,0.0118,0.00289,1172.2,-4.3535,-1.09
298.15,200,5,0.01194,0.00295,1173.4,-4.4679,-1.1575
298.15,250,5,0.01224,0.00306,1176.4,-4.7035,-1.2887
298.15,300,5,0.0125,0.00314,1179.4,-4.8883,-1.3825
298.15,350,5,0.01274,0.00321,1182.4,-5.038,-1.4509
298.15,400,5,0.01295,0.00326,1185.2,-5.162,-1.5008
298.15,450,5,0.01314,0.0033,1188.1,-5.2664,-1.5368
298.15,500,5,0.01332,0.00333,1190.9,-5.3554,-1.562
298.15,550,5,0.01348,0.00335,1193.7,-5.432,-1.5786
298.15,600,5,0.01363,0.00337,1196.5,-5.4984,-1.5882
298.15,1,6,0.00014,0.0243,1185.9,-0.0125,-0.0045
298.15,5,6,0.00103,0.00502,1186.2,-0.0632,-0.0227
298.15,10,6,0.00202,0.00262,1186.6,-0.1285,-0.0457
298.15,20,6,0.00388,0.00143,1187.4,-0.2671,-0.0928
298.15,30,6,0.00555,0.00105,1188.2,-0.4195,-0.1418
298.15,40,6,0.00703,0.00088,1188.9,-0.5925,-0.1928
298.15,50,6,0.00831,0.00079,1189.7,-0.8023,-0.2464
298.15,60,6,0.00934,0.00077,1190.4,-1.1266,-0.3016
298.15,70,6,0.00975,0.0021,1191,-3.2687,-0.3741
298.15,80,6,0.00985,0.00221,1191.7,-3.4272,-0.4847
298.15,90,6,0.00995,0.0023,1192.3,-3.5658,-0.5802
298.15,100,6,0.01003,0.00237,1192.9,-3.6887,-0.6637
298.15,120,6,0.01019,0.00248,1194.2,-3.8991,-0.8038
298.15,140,6,0.01034,0.00257,1195.4,-4.0743,-0.9171
298.15,160,6,0.01047,0.00264,1196.7,-4.2237,-1.011
298.15,180,6,0.01059,0.0027,1197.9,-4.3535,-1.09
298.15,200,6,0.01071,0.00276,1199.1,-4.4679,-1.1575
298.15,250,6,0.01097,0.00286,1202.2,-4.7035,-1.2887
298.15,300,6,0.01121,0.00294,1205.2,-4.8883,-1.3825
298.15,350,6,0.01141,0.003,1208.2,-5.038,-1.4509
298.15,400,6,0.0116,0.00304,1211.1,-5.162,-1.5008
298.15,450,6,0.01176,0.00308,1214,-5.2664,-1.5368
298.15,500,6,0.01192,0.00311,1216.9,-5.3554,-1.562
298.15,550,6,0.01206,0.00313,1219.7,-5.432,-1.5786
298.15,600,6,0.01218,0.00314,1222.5,-5.4984,-1.5882
323.15,1,0,0.00026,0.12413,990.6,-0.0086,-0.0034
323.15,5,0,0.00138,0.02547,991.4,-0.0432,-0.0173
323.15,10,0,0.00283,0.01316,992.3,-0.0876,-0.0347
323.15,20,0,0.00556,0.00703,994.2,-0.1803,-0.0702
323.15,30,0,0.00813,0.00503,995.9,-0.2791,-0.1064
323.15,40,0,0.01053,0.00407,997.6,-0.3855,-0.1434
323.15,50,0,0.01274,0.00353,999.2,-0.5019,-0.1814
323.15,60,0,0.01475,0.00321,1000.6,-0.6325,-0.2205
323.15,70,0,0.01654,0.00304,1002,-0.785,-0.2608
323.15,80,0,0.01809,0.00298,1003.3,-0.9799,-0.3021
323.15,90,0,0.01938,0.00305,1004.4,-1.3517,-0.339
323.15,100,0,0.02036,0.00338,1005.4,-2.1335,-0.3695
323.15,120,0,0.02144,0.00475,1007,-2.4851,-0.4904
323.15,140,0,0.02213,0.00541,1008.4,-2.7207,-0.5933
323.15,160,0,0.02269,0.00582,1009.8,-2.9061,-0.6801
323.15,180,0,0.02319,0.00613,1011.1,-3.0603,-0.7539
323.15,200,0,0.02365,0.00638,1012.4,-3.1924,-0.8173
323.15,250,0,0.02465,0.00683,1015.5,-3.4569,-0.9417
323.15,300,0,0.02552,0.00715,1018.6,-3.6592,-1.0314
323.15,350,0,0.02629,0.00739,1021.6,-3.8207,-1.0973
323.15,400,0,0.02699,0.00758,1024.5,-3.9535,-1.1459
323.15,450,0,0.02763,0.00772,1027.3,-4.0646,-1.1814
323.15,500,0,0.02822,0.00784,1030.1,-4.1591,-1.2067
323.15,550,0,0.02877,0.00793,1032.9,-4.2402,-1.2238
323.15,600,0,0.02928,0.008,1035.6,-4.3104,-1.2342
323.15,1,1,0.00022,0.11998,1026.3,-0.0086,-0.0034
323.15,5,1,0.00113,0.02462,1026.8,-0.0432,-0.0173
323.15,10,1,0.00236,0.01272,1027.6,-0.0876,-0.0347
323.15,20,1,0.00462,0.0068,1029,-0.1803,-0.0702
323.15,30,1,0.00674,0.00487,1030.4,-0.2791,-0.1064
323.15,40,1,0.00871,0.00394,1031.7,-0.3855,-0.1434
323.15,50,1,0.0105,0.00341,1033,-0.5019,-0.1814
323.15,60,1,0.01213,0.00311,1034.2,-0.6325,-0.2205
323.15,70,1,0.01357,0.00294,1035.3,-0.785,-0.2608
323.15,80,1,0.01482,0.00288,1036.3,-0.9799,-0.3021
323.15,90,1,0.01585,0.00295,1037.3,-1.3517,-0.339
323.15,100,1,0.01663,0.00327,1038.1,-2.1335,-0.3695
323.15,120,1,0.01749,0.00458,1039.6,-2.4851,-0.4904
323.15,140,1,0.01803,0.00521,1040.9,-2.7207,-0.5933
323.15,160,1,0.01848,0.00561,1042.2,-2.9061,-0.6801
323.15,180,1,0.01887,0.0059,1043.4,-3.0603,-0.7539
323.15,200,1,0.01923,0.00613,1044.7,-3.1924,-0.8173
323.15,250,1,0.02001,0.00657,1047.7,-3.4569,-0.9417
323.15,300,1,0.02069,0.00687,1050.7,-3.6592,-1.0314
323.15,350,1,0.02129,0.0071,1053.6,-3.8207,-1.0973
323.15,400,1,0.02182,0.00727,1056.5,-3.9535,-1.1459
323.15,450,1,0.02232,0.00741,1059.3,-4.0646,-1.1814
323.15,500,1,0.02277,0.00751,1062,-4.1591,-1.2067
323.15,550,1,0.02319,0.0076,1064.7,-4.2402,-1.2238
323.15,600,1,0.02357,0.00767,1067.4,-4.3104,-1.2342
323.15,1,2,0.00018,0.11552,1059.9,-0.0086,-0.0034
323.15,5,2,0.00094,0.0237,1060.3,-0.0432,-0.0173
323.15,10,2,0.00201,0.01224,1060.9,-0.0876,-0.0347
323.15,20,2,0.00392,0.00655,1062.1,-0.1803,-0.0702
323.15,30,2,0.0057,0.00469,1063.2,-0.2791,-0.1064
323.15,40,2,0.00734,0.00379,1064.3,-0.3855,-0.1434
323.15,50,2,0.00885,0.00329,1065.3,-0.5019,-0.1814
323.15,60,2,0.01019,0.00299,1066.3,-0.6325,-0.2205
323.15,70,2,0.01138,0.00283,1067.3,-0.785,-0.2608
323.15,80,2,0.01241,0.00278,1068.1,-0.9799,-0.3021
323.15,90,2,0.01325,0.00284,1069,-1.3517,-0.339
323.15,100,2,0.01389,0.00314,1069.7,-2.1335,-0.3695
323.15,120,2,0.01459,0.0044,1071.1,-2.4851,-0.4904
323.15,140,2,0.01503,0.005,1072.4,-2.7207,-0.5933
323.15,160,2,0.0154,0.00538,1073.7,-2.9061,-0.6801
323.15,180,2,0.01572,0.00566,1074.9,-3.0603,-0.7539
323.15,200,2,0.016,0.00588,1076.1,-3.1924,-0.8173
323.15,250,2,0.01663,0.00629,1079.1,-3.4569,-0.9417
323.15,300,2,0.01718,0.00658,1082.1,-3.6592,-1.0314
323.15,350,2,0.01765,0.00679,1084.9,-3.8207,-1.0973
323.15,400,2,0.01808,0.00695,1087.8,-3.9535,-1.1459
323.15,450,2,0.01847,0.00708,1090.6,-4.0646,-1.1814
323.15,500,2,0.01883,0.00718,1093.4,-4.1591,-1.2067
323.15,550,2,0.01916,0.00726,1096.1,-4.2402,-1.2238
323.15,600,2,0.01946,0.00732,1098.8,-4.3104,-1.2342
323.15,1,3,0.00016,0.11064,1091.5,-0.0086,-0.0034
323.15,5,3,0.00079,0.0227,1091.9,-0.0432,-0.0173
323.15,10,3,0.00174,0.01173,1092.4,-0.0876,-0.0347
323.15,20,3,0.00339,0.00627,1093.4,-0.1803,-0.0702
323.15,30,3,0.00492,0.00449,1094.4,-0.2791,-0.1064
323.15,40,3,0.00633,0.00363,1095.3,-0.3855,-0.1434
323.15,50,3,0.00761,0.00315,1096.2,-0.5019,-0.1814
323.15,60,3,0.00876,0.00287,1097,-0.6325,-0.2205
323.15,70,3,0.00976,0.00271,1097.9,-0.785,-0.2608
323.15,80,3,0.01063,0.00266,1098.6,-0.9799,-0.3021
323.15,90,3,0.01134,0.00272,1099.4,-1.3517,-0.339
323.15,100,3,0.01188,0.00301,1100.1,-2.1335,-0.3695
323.15,120,3,0.01247,0.0042,1101.4,-2.4851,-0.4904
323.15,140,3,0.01283,0.00477,1102.7,-2.7207,-0.5933
323.15,160,3,0.01314,0.00513,1104,-2.9061,-0.6801
323.15,180,3,0.0134,0.00539,1105.2,-3.0603,-0.7539
323.15,200,3,0.01364,0.0056,1106.4,-3.1924,-0.8173
323.15,250,3,0.01417,0.00599,1109.4,-3.4569,-0.9417
323.15,300,3,0.01461,0.00626,1112.4,-3.6592,-1.0314
323.15,350,3,0.01501,0.00646,1115.3,-3.8207,-1.0973
323.15,400,3,0.01536,0.00661,1118.1,-3.9535,-1.1459
323.15,450,3,0.01568,0.00673,1120.9,-4.0646,-1.1814
323.15,500,3,0.01597,0.00682,1123.7,-4.1591,-1.2067
323.15,550,3,0.01624,0.00689,1126.5,-4.2402,-1.2238
323.15,600,3,0.01648,0.00695,1129.2,-4.3104,-1.2342
323.15,1,4,0.00014,0.10537,1121.5,-0.0086,-0.0034
323.15,5,4,0.00066,0.02162,1121.8,-0.0432,-0.0173
323.15,10,4,0.00154,0.01117,1122.2,-0.0876,-0.0347
323.15,20,4,0.00299,0.00598,1123.1,-0.1803,-0.0702
323.15,30,4,0.00433,0.00428,1123.9,-0.2791,-0.1064
323.15,40,4,0.00557,0.00346,1124.7,-0.3855,-0.1434
323.15,50,4,0.00668,0.003,1125.5,-0.5019,-0.1814
323.15,60,4,0.00768,0.00273,1126.3,-0.6325,-0.2205
323.15,70,4,0.00856,0.00259,1127.1,-0.785,-0.2608
323.15,80,4,0.00931,0.00253,1127.8,-0.9799,-0.3021
323.15,90,4,0.00992,0.00259,1128.5,-1.3517,-0.339
323.15,100,4,0.01039,0.00287,1129.2,-2.1335,-0.3695
323.15,120,4,0.01089,0.00399,1130.5,-2.4851,-0.4904
323.15,140,4,0.01121,0.00453,1131.7,-2.7207,-0.5933
323.15,160,4,0.01147,0.00486,1133,-2.9061,-0.6801
323.15,180,4,0.0117,0.00511,1134.2,-3.0603,-0.7539
323.15,200,4,0.0119,0.00531,1135.4,-3.1924,-0.8173
323.15,250,4,0.01235,0.00567,1138.5,-3.4569,-0.9417
323.15,300,4,0.01273,0.00592,1141.5,-3.6592,-1.0314
323.15,350,4,0.01306,0.0061,1144.4,-3.8207,-1.0973
323.15,400,4,0.01336,0.00624,1147.3,-3.9535,-1.1459
323.15,450,4,0.01363,0.00635,1150.2,-4.0646,-1.1814
323.15,500,4,0.01387,0.00644,1153,-4.1591,-1.2067
323.15,550,4,0.0141,0.0065,1155.8,-4.2402,-1.2238
323.15,600,4,0.0143,0.00656,1158.5,-4.3104,-1.2342
323.15,1,5,0.00013,0.09976,1149.8,-0.0086,-0.0034
323.15,5,5,0.00056,0.02047,1150.1,-0.0432,-0.0173
323.15,10,5,0.00139,0.01058,1150.5,-0.0876,-0.0347
323.15,20,5,0.00269,0.00566,1151.3,-0.1803,-0.0702
323.15,30,5,0.00389,0.00405,1152,-0.2791,-0.1064
323.15,40,5,0.005,0.00328,1152.8,-0.3855,-0.1434
323.15,50,5,0.00599,0.00284,1153.5,-0.5019,-0.1814
323.15,60,5,0.00688,0.00259,1154.2,-0.6325,-0.2205
323.15,70,5,0.00766,0.00245,1154.9,-0.785,-0.2608
323.15,80,5,0.00833,0.0024,1155.6,-0.9799,-0.3021
323.15,90,5,0.00887,0.00246,1156.3,-1.3517,-0.339
323.15,100,5,0.00928,0.00271,1156.9,-2.1335,-0.3695
323.15,120,5,0.00972,0.00377,1158.2,-2.4851,-0.4904
323.15,140,5,0.01,0.00427,1159.5,-2.7207,-0.5933
323.15,160,5,0.01023,0.00458,1160.8,-2.9061,-0.6801
323.15,180,5,0.01043,0.00482,1162,-3.0603,-0.7539
323.15,200,5,0.01061,0.005,1163.2,-3.1924,-0.8173
323.15,250,5,0.011,0.00533,1166.3,-3.4569,-0.9417
323.15,300,5,0.01133,0.00556,1169.3,-3.6592,-1.0314
323.15,350,5,0.01162,0.00573,1172.3,-3.8207,-1.0973
323.15,400,5,0.01188,0.00586,1175.2,-3.9535,-1.1459
323.15,450,5,0.01211,0.00596,1178.1,-4.0646,-1.1814
323.15,500,5,0.01232,0.00604,1181,-4.1591,-1.2067
323.15,550,5,0.01252,0.0061,1183.9,-4.2402,-1.2238
323.15,600,5,0.0127,0.00614,1186.7,-4.3104,-1.2342
323.15,1,6,0.00012,0.09392,1176.7,-0.0086,-0.0034
323.15,5,6,0.00048,0.01928,1177,-0.0432,-0.0173
323.15,10,6,0.00127,0.00996,1177.4,-0.0876,-0.0347
323.15,20,6,0.00247,0.00533,1178.1,-0.1803,-0.0702
323.15,30,6,0.00357,0.00382,1178.7,-0.2791,-0.1064
323.15,40,6,0.00457,0.00309,1179.4,-0.3855,-0.1434
323.15,50,6,0.00548,0.00268,1180.1,-0.5019,-0.1814
323.15,60,6,0.00628,0.00244,1180.8,-0.6325,-0.2205
323.15,70,6,0.00699,0.00231,1181.5,-0.785,-0.2608
323.15,80,6,0.00759,0.00226,1182.1,-0.9799,-0.3021
323.15,90,6,0.00808,0.00231,1182.8,-1.3517,-0.339
323.15,100,6,0.00845,0.00255,1183.4,-2.1335,-0.3695
323.15,120,6,0.00885,0.00354,1184.7,-2.4851,-0.4904
323.15,140,6,0.00911,0.004,1186,-2.7207,-0.5933
323.15,160,6,0.00931,0.00429,1187.3,-2.9061,-0.6801
323.15,180,6,0.00949,0.00451,1188.5,-3.0603,-0.7539
323.15,200,6,0.00965,0.00468,1189.8,-3.1924,-0.8173
323.15,250,6,0.01,0.00498,1192.9,-3.4569,-0.9417
323.15,300,6,0.0103,0.0052,1195.9,-3.6592,-1.0314
323.15,350,6,0.01055,0.00535,1199,-3.8207,-1.0973
323.15,400,6,0.01078,0.00547,1202,-3.9535,-1.1459
323.15,450,6,0.01099,0.00556,1204.9,-4.0646,-1.1814
323.15,500,6,0.01118,0.00563,1207.8,-4.1591,-1.2067
